"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Rural population (% of total population)","SP.RUR.TOTL.ZS","40.9763298312845","40.9272001430732","40.7877287664185","40.5676406456901","40.2766595237867","39.924509143607","39.5209132480498","39.0755955800138","38.5982798823976","38.0986898981","37.5865493700197","37.0715820410554","36.5635116541059","36.0720619520699","35.606956677846","35.177919574333","34.7946743844296","34.4669448510346","34.2044547170465","34.0169277253643","33.9140876188865","33.9008825583984","33.9293808923785","33.9850934614707","34.0606473392968","34.14955227114","34.2453180022837","34.3414542780112","34.4314708436057","34.5088774443506","34.5671838255292","34.5990779363031","34.6094109110142","34.6155333781499","34.6199521899015","34.623296566935","34.6261957299162","34.6292788995111","34.6331752963854","34.6385141412051","34.6454502200013","34.6648862086086","34.7179308691783","34.8017077412832","34.9113466338442","35.0419773557825","35.188729716019","35.3467335234746","35.5111185870705","35.6770147157274","35.8387034450523","36.0007394161429","36.1747914800401","36.3617085644674","36.5607468696205","36.7711625956947","36.9922119428858","37.2231511113891","37.4632363014004","37.711723713115","37.9971162433635","38.0724660113157","38.1188342075743","38.1648507324411","38.2090603180406",
"Africa Eastern and Southern","AFE","Rural population (% of total population)","SP.RUR.TOTL.ZS","85.3596292622766","85.1322697588241","84.8926325180901","84.6461011198087","84.3928475555924","84.1277542025346","83.8508413459517","83.5699142383558","83.2822984212831","82.9797631087217","82.6608546322627","82.3223746659547","81.9585553951346","81.5834160955946","81.2153780700864","80.8533812789376","80.5046544725062","80.1634908973597","79.8317385878707","79.5018909060249","79.1566827139784","78.8329887351789","78.5096162840029","78.1388448412847","77.7192615243234","77.2597577136106","76.7608552143789","76.2353851477765","75.7048883279036","75.1818001155334","74.6979557945898","74.2958665162334","73.9699448264227","73.6528177894736","73.282230640534","72.9573239781446","72.7217255687749","72.4789700620562","72.1792546862657","71.8629415777511","71.5313120223548","71.1684938564262","70.7789693833691","70.3609643985639","69.9121629330958","69.4627241370697","69.0123504455164","68.6370226057096","68.151000415052","67.7599322402082","67.4096390179786","67.0619014130208","66.7132939198608","66.3326857227225","65.9224225976987","65.5093190644356","65.1187893306726","64.7170131673542","64.285281535275","63.9026692982302","63.5116780390134","63.0914573911481","62.6394218903529","62.2276987591651","61.7585585710397",
"Afghanistan","AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","91.8774485065979","91.6104050506866","91.3373357634504","91.0572905621239","90.7688655215591","90.4706567166083","90.1612602221238","89.8392721129577","89.5032884639624","89.15190534999","88.7702342961208","88.3339644581541","87.8380152450442","87.3083083268085","86.7652287611288","86.2291616056868","85.7204919181646","85.2596047562438","84.8668851776063","84.5623992529998","84.3190005457375","84.0962424692106","83.8926221728994","83.7063342034889","83.5355731076638","83.3785334321092","83.2334097235097","83.0983965285503","82.9716883939158","82.8514798662911","82.735965492361","82.6233398188104","82.5117973923242","82.3995327595872","82.2847404672842","82.1656150621001","82.0403510907198","81.9071430998281","81.7641856361099","81.6096732462501","81.4418004769334","81.2587618748448","81.0587519866691","80.8399653590911","80.6006406040407","80.2940904246333","79.8895469810819","79.4093420784577","78.8758518650367","78.3114524890947","77.7385200989076","77.1794308427515","76.6565608689021","76.1922863256354","75.8089833612274","75.5350881578432","75.3411654279874","75.1647178761129","75.0008354808594","74.8562741160197","74.7377896553863","74.6521379727519","74.6060749419091","74.5269470368833","74.2992647363812",
"Africa Western and Central","AFW","Rural population (% of total population)","SP.RUR.TOTL.ZS","86.0535203680763","85.5315805386184","84.9826168701616","84.4076816573489","83.8094203208183","83.1859978745126","82.5448418180742","81.8912137020987","81.2302537368251","80.5678109710921","79.9066131365312","79.2348236162526","78.5446886317585","77.8366815676761","77.1209282480889","76.4084657245475","75.6924782187158","74.9795620743951","74.2995816566452","73.6529177543367","73.0051799121071","72.357603862498","71.7281657041079","71.1118815807567","70.4936052607049","69.880017133323","69.314618862733","68.6716868294453","68.0761323271205","67.486189723957","66.9069363115494","66.2185513985943","65.6604613379962","65.1164017901449","64.5855948686632","64.0553318560965","63.5018318304844","62.9190489933473","62.3295087501946","61.7407034801549","61.1475315615419","60.5470540331591","59.950632590817","59.3551517217234","58.7601798664238","58.163540544226","57.5600741188216","56.9876872707259","56.4201126072798","55.8487904378559","55.2739801555416","54.7012004249987","54.1267453055985","53.5536690866608","52.9778353998232","52.3976107384662","51.8260295966176","51.2525861224144","50.6820524013078","50.1099248505003","49.5236821192532","48.9276030077318","48.3183058865221","47.7170918127098","47.1404357755741",
"Angola","AGO","Rural population (% of total population)","SP.RUR.TOTL.ZS","89.6128961251125","89.1894550473619","88.7929399749092","88.4182796835289","88.0548195960591","87.691905135338","87.3188817242035","86.9250947854939","86.4998897420471","86.0326120167012","85.5109643808433","84.9241377196919","84.2374139156183","83.4549695572504","82.5836300596137","81.630220837734","80.6015673066369","79.5044948813482","78.3458289768935","77.1323950082984","75.8710183905888","74.5685245387902","73.2317388679283","71.8674867930289","70.4825937291176","69.08388509122","67.678186294362","66.272322753569","64.8731198838669","63.4874031002813","62.121997817838","60.7837294515624","59.4794234164805","58.2159051276178","57","55.7889974603136","54.5443994101322","53.2793499768119","52.006993287709","50.7404734701797","49.4929346515803","48.2775209592671","47.1073765205962","45.9956454629239","44.9554719136064","44","43.1060967337228","42.2435367069867","41.4148254180386","40.6224683651256","39.8689710464947","39.1568389603927","38.4885776050668","37.8666924787639","37.276884206759","36.48432167315","35.7007697482011","34.9149474913932","34.1267863276628","33.3362176819467","32.5431729791813","31.7475836443031","30.9493811022487","30.1484967779543","29.3448620963565",
"Albania","ALB","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.1579325869077","69.0172486581493","68.9268099182361","68.8601944351634","68.8093673750396","68.7662939039728","68.7229391880715","68.6712683934439","68.6032466861983","68.5098346348678","68.3809873486389","68.2167809704235","68.0245417204759","67.8109370855319","67.5826345523276","67.3463016075989","67.1086057380816","66.8762144305117","66.6557951716251","66.4540430420516","66.2670598806416","66.0913692325153","65.921019799557","65.7507327886738","65.5752294067729","65.3892308607613","65.1874583575462","64.9646331040347","64.715476307134","64.4330102165987","64.1029521987156","63.717588393494","63.2815724868561","62.798374874271","62.271465951208","61.7043161131362","61.1003957555249","60.4631752738433","59.7961250635606","59.1027155201459","58.3864170390686","57.645486009071","56.8479580390581","55.9704910776792","55.0215074330606","54.0062333079417","52.9298949050622","51.7977184271616","50.6149300769793","49.3867560572551","48.1184225707284","46.7082617107535","46.1362446338551","45.7020321941452","45.2674186821327","44.8420708625106","44.4261265535724","44.019723573454","43.622999740108","43.2360928712745","42.8591407844456","42.4922812968222","42.1356522252617","41.7893913862143","41.4536365956445",
"Andorra","AND","Rural population (% of total population)","SP.RUR.TOTL.ZS","41.5499992370605","39.7906040923001","37.9638518423127","36.0815883848034","34.1556596174776","32.1979114380404","30.220189744197","28.2343404336528","26.2522094041129","24.2856425532827","22.3464857788672","20.4465849785718","18.5977860501017","16.8119348911621","15.1008773994582","13.4764594726954","11.9505270085787","10.5349259048135","9.241502059105","8.08210136915849","7.06856973267909","6.2127530473721","5.52649721094269","5.02164812109621","4.7100516755378","4.6035537719727","4.6078201971733","4.622634051186","4.6510172016272","4.6959915161133","5.23410797119141","5.6864395141602","5.98919877965631","6.2409605702275","6.4556379873585","6.64714413253419","6.8293921072395","7.0162950129594","7.2217659511786","7.45971802338209","7.7440643310547","8.1050288889854","8.53946916883849","9.01124845741209","9.48423004150391","10.0436368054582","10.6210781081652","10.9499969482422","11.0592636069523","11.15566684815","11.2395273943391","11.3111659680237","11.3709032917076","11.4190600878947","11.455957079089","11.4819149877943","11.4972545365147","11.5022964477539","11.4919001506209","11.4608206333755","11.4092219572483","11.3372681834701","11.2451233732714","11.1798390782918","11.1149955183722",
"Arab World","ARB","Rural population (% of total population)","SP.RUR.TOTL.ZS","69.0530158821006","68.3013716477718","67.4911718284185","66.6788724819516","65.900041147811","65.1752536223483","64.5112665448301","63.864143478361","63.1953791953825","62.5183179405713","61.8489011829786","61.1998902135212","60.5481258748438","59.9527867776486","59.3906096061194","58.8487330640392","58.3301016186976","57.8103112892627","57.3009749881955","56.8047459148256","56.2783399406896","55.697787381691","55.122274468415","54.5745381344134","53.9662512136818","53.3356253490905","52.7047470834216","52.0892045945709","51.5028442429999","50.9467208778374","50.4586873744156","50.0991261021315","49.6526807069228","49.3496721145225","49.0888377604927","48.8658086962094","48.6200554702087","48.3532442649827","48.0959340821839","47.8369753878422","47.5585694246037","47.261831569183","46.9571473939445","46.6478086045841","46.3361230107942","46.0179997094362","45.6883976427747","45.3445425953413","44.987869349551","44.6404018448454","44.4079022680538","43.947919099572","43.2390221059893","42.4252864403163","41.9721761113155","41.648287729516","41.4377062049517","41.3191058398405","41.2152974675922","41.1037120622898","40.9100310133092","40.887515285816","40.6660674851883","40.430059199691","40.1801247550726",
"United Arab Emirates","ARE","Rural population (% of total population)","SP.RUR.TOTL.ZS","26.5","25.4605140246523","24.5248105091591","23.6769961655757","22.9011777059575","22.1814618423596","21.5019552868376","20.8467647514467","20.1999969482422","19.5121872100176","18.7769259837242","18.0429026526544","17.3588066001003","16.7733272093542","16.3351538637084","16.1021123245412","16.1308684363363","16.6121677820231","17.3752028068144","18.2128324735987","18.8958538689022","19.3463654618659","19.6956044417273","20.0026897728947","20.2663189189199","20.4817379648253","20.6648697335137","20.8382278249113","21.0066552224887","21.1665303318191","21.3142315584759","21.4461373080323","21.5586259860617","21.6480759981373","21.7108657498324","21.7421920401788","21.7310306283067","21.6179246163997","21.4044492403945","21.0997337812699","20.712907520005","20.2530997375785","19.7294397149694","19.1510567331566","18.5270800731188","17.7877167236483","17.4411031353171","17.241391499682","17.0341036450342","16.8298007003837","16.6285700855822","16.4304992204653","16.2356755248512","16.0441864185374","15.8561193212981","15.6715616528807","15.4906008330016","15.313324281341","15.1398194175375","14.9701736611805","14.8044744318016","14.6428091488645","14.4852652317513","14.3319300997474","14.1828911720209",
"Argentina","ARG","Rural population (% of total population)","SP.RUR.TOTL.ZS","28.2761106197353","27.5645255058373","26.8271212225193","26.0726264581332","25.3120371330865","24.5563491677868","23.8165584826414","23.1036609980578","22.4286526344435","21.802529312206","21.2381602940259","20.7307835656388","20.2635039154628","19.827408997879","19.4164095668493","19.0244163763358","18.6453401803006","18.2730917327056","17.901581787513","17.5247210986848","17.1360445710542","16.7310157927578","16.3094752854558","15.8777555438767","15.4419228596308","15.0080435243284","14.5821838295798","14.1704100669952","13.7787885281848","13.4133855047591","13.0802672883281","12.7849723294303","12.5184126224381","12.2692286474905","12.035417349719","11.8146322488177","11.6045268644806","11.4027547164017","11.206969324275","11.0148242077947","10.8239728866546","10.6317048710628","10.4383298079487","10.247531743436","10.0602791205788","9.8766262263928","9.6966273478936","9.5203367720969","9.34780878601831","9.17909767667351","9.00699480590229","8.89277132615941","8.79587827532031","8.6985492280527","8.60246545270461","8.50769808913719","8.4143182771783","8.3223971566176","8.2320058672002","8.14321554861981","8.05609734051031","7.9707223824349","7.887161813874","7.8054867742093","7.7257684027048",
