feature,importance_cls,importance_reg
gdp_per_capita,0.18619900802845166,0.23050603280548576
urban_population_percent,0.10559982844118224,0.06794801348297595
rural_population_percent,0.10916563157371321,0.08191408906823482
population_density,0.07724093288346129,0.04824163023455686
total_population,0.07369643948561158,0.030669311770701025
renewable_energy_percent,0.22631621508457092,0.44497594688971764
government_effectiveness,0.08593699312498387,0.051431815939443994
elec_access_change,0.07445503504314578,0.021779153935286236
gdp_growth,0.01491954329851717,0.002561905787014293
urban_change,0.04647037303636221,0.01997210008658336
